,category_code,words,words_count
0,10,"['ammareal', 'année', 'book', 'caritatives', 'chez', 'collection', 'donnons', 'edition', 'etat', 'guide', 'histoire', 'livre', 'occasion', 'organisations', 'partenaires', 'prix', 'tome', 'vendons', 'vie', 'édition']",20
1,40,"['audio', 'boutons', 'console', 'contrôleur', 'câble', 'edition', 'facile', 'forfait', 'haute', 'jeu', 'jeux', 'matériel', 'nintendo', 'pc', 'pièce', 'plastique', 'ps', 'spécification', 'version', 'xbox']",20
2,50,"['batterie', 'charge', 'compatible', 'console', 'contrôleur', 'câble', 'facile', 'haute', 'jeu', 'jeux', 'manette', 'nintendo', 'produit', 'protection', 'ps', 'silicone', 'support', 'switch', 'usb', 'xbox']",20
3,60,"['console', 'denuméro', 'game', 'intégré', 'jeu', 'jeux', 'lecteur', 'marque', 'mini', 'modèle', 'ouicommunication', 'ouiecran', 'poche', 'portable', 'pouces', 'rétro', 'tactile', 'tv', 'vidéo', 'écran']",20
4,1140,"['collection', 'eacute', 'emballage', 'env', 'figure', 'figurine', 'figurines', 'funko', 'haute', 'licence', 'marvel', 'officielle', 'pop', 'pvc', 'qualité', 'shirt', 'sous', 'star', 'série', 'wars']",20
5,1160,"['ball', 'carte', 'cartes', 'cette', 'commune', 'dragon', 'foil', 'fr', 'frcarte', 'gi', 'magic', 'monstre', 'mtg', 'oh', 'panini', 'pokemon', 'pokémon', 'pv', 'rare', 'reverse']",20
6,1180,"['costume', 'différence', 'dragons', 'figurine', 'halloween', 'heroclix', 'jeu', 'jeux', 'latex', 'led', 'magic', 'masque', 'miniatures', 'métal', 'oop', 'port', 'prince', 'très', 'visage', 'warhammer']",20
7,1280,"['ans', 'batterie', 'bois', 'bébé', 'cadeau', 'enfants', 'haute', 'jouet', 'jouets', 'main', 'matériel', 'peluche', 'poupée', 'produit', 'qualité', 'rc', 'stress', 'temps', 'toy', 'voiture']",20
8,1281,"['ans', 'bois', 'boue', 'bébé', 'cadeau', 'card', 'cards', 'cartes', 'enfants', 'game', 'grand', 'haute', 'jeu', 'jouer', 'jouet', 'jouets', 'produit', 'qualité', 'stress', 'toy']",20
9,1300,"['batterie', 'caméra', 'charge', 'distance', 'dji', 'drone', 'facile', 'haute', 'mah', 'mavic', 'mode', 'moteur', 'poids', 'quadcopter', 'qualité', 'rc', 'temps', 'voiture', 'vol', 'wifi']",20
10,1301,"['anti', 'belle', 'bébé', 'cartoon', 'chaud', 'chaussettes', 'contenu', 'coton', 'enfants', 'filles', 'garçons', 'haute', 'longueur', 'matériaux', 'né', 'paire', 'pieds', 'qualité', 'slip', 'âge']",20
11,1302,"['air', 'bracelet', 'caractéristiques', 'doux', 'eau', 'enfants', 'facile', 'haute', 'jouets', 'lampe', 'led', 'matériel', 'pc', 'poche', 'pêche', 'qualité', 'stress', 'super', 'trampoline', 'très']",20
12,1320,"['air', 'auto', 'bébé', 'eau', 'enfant', 'enfants', 'lit', 'main', 'matériel', 'mode', 'mso', 'poussette', 'roues', 'réglable', 'sac', 'siège', 'style', 'sécurité', 'type', 'voyage']",20
13,1560,"['acier', 'anti', 'assise', 'bois', 'chaise', 'confort', 'cuisine', 'design', 'facile', 'haute', 'lit', 'matelas', 'matériel', 'mousse', 'qualité', 'rangement', 'salle', 'table', 'tissu', 'très']",20
14,1920,"['canapé', 'coton', 'coussin', 'couverture', 'décoration', 'eau', 'haute', 'home', 'housse', 'lin', 'matériel', 'mesure', 'oreiller', 'pc', 'plaît', 'polyester', 'qualité', 'raison', 'style', 'taie']",20
15,1940,"['bio', 'café', 'capsules', 'chocolat', 'conditionnement', 'fruits', 'huile', 'ingrédients', 'lait', 'lot', 'marque', 'poudre', 'produit', 'pâte', 'sachet', 'saveur', 'sel', 'sucre', 'thé', 'type']",20
16,2060,"['bricolage', 'chambre', 'diamant', 'décoration', 'facile', 'haute', 'lampe', 'led', 'lumière', 'maison', 'matériel', 'mur', 'noël', 'pc', 'peinture', 'plaît', 'produit', 'qualité', 'résine', 'toile']",20
17,2220,"['animal', 'animaux', 'chat', 'chaud', 'chien', 'chiens', 'collier', 'compagnie', 'confortable', 'cou', 'dog', 'facile', 'haute', 'hiver', 'longueur', 'matériel', 'mode', 'pet', 'poitrine', 'vêtements']",20
18,2280,"['art', 'contre', 'francaise', 'guerre', 'histoire', 'hors', 'illustre', 'jean', 'journal', 'magazine', 'monde', 'nouvelle', 'paris', 'petit', 'politique', 'presse', 'revue', 'saint', 'série', 'vie']",20
19,2403,"['année', 'bd', 'collection', 'editions', 'histoire', 'jean', 'livre', 'livres', 'lot', 'numéros', 'pages', 'partitions', 'piano', 'revue', 'revues', 'romans', 'tome', 'tomes', 'vol', 'volumes']",20
20,2462,"['collection', 'console', 'ds', 'go', 'jeu', 'jeux', 'kinect', 'lot', 'manette', 'manettes', 'nintendo', 'one', 'pc', 'photos', 'playstation', 'ps', 'slim', 'voir', 'wii', 'xbox']",20
21,2522,"['bloc', 'cahier', 'carnet', 'couverture', 'design', 'excellente', 'facilement', 'format', 'haute', 'jaune', 'journal', 'lot', 'notes', 'pages', 'papier', 'recto', 'solide', 'stylo', 'texture', 'verso']",20
22,2582,"['acier', 'aluminium', 'anti', 'bois', 'design', 'eau', 'extérieur', 'facile', 'jardin', 'parasol', 'polyester', 'pvc', 'qualité', 'résistant', 'structure', 'table', 'tente', 'très', 'uv', 'verre']",20
23,2583,"['acier', 'ans', 'bois', 'bâche', 'cv', 'eau', 'filtration', 'filtre', 'hors', 'kit', 'liner', 'm³', 'piscine', 'piscines', 'pompe', 'sable', 'sol', 'spa', 'structure', 'volume']",20
24,2585,"['accessoires', 'acier', 'anti', 'aspirateur', 'bois', 'bâche', 'caractéristiques', 'eau', 'facile', 'haute', 'jardin', 'longueur', 'matériel', 'microns', 'outil', 'plastique', 'produit', 'qualité', 'type', 'utiliser']",20
25,2705,"['agrave', 'ans', 'aussi', 'bien', 'cette', 'eacute', 'ecirc', 'egrave', 'entre', 'faire', 'fait', 'histoire', 'homme', 'livre', 'monde', 'pr', 'rsquo', 'si', 'tous', 'vie']",20
26,2905,"['amd', 'compatible', 'connexion', 'core', 'directx', 'disque', 'espace', 'geforce', 'ghz', 'go', 'hd', 'intel', 'internet', 'jeu', 'nvidia', 'processeur', 'radeon', 'requise', 'système', 'windows']",20
